Name,LineNum,Line
"latitans, Melania Anthony, 1854",17138,"latitans, Melania Anthony, 1854, 6:88, plate 2: figure 6"
"latiuscula, Cylichna A. Adams, 1862",17139,"latiuscula, Cylichna A. Adams, 1862d, 9:151"
"latiuscula, Phasianella Morris and Lycett, 1854",17140,"latiuscula, Phasianella Morris and Lycett, 1854 [in 1853-1854], 1: 117, plate 15: figure 16"
"lativittatum, Trypanostoma Lea, 1862",17141,"lativittatum, Trypanostoma Lea, 1862e:273; 1863e, 5:352, plate 39: figure 223"
"latizona, Helix Pfeiffer, 1863",17142,"latizona, Helix Pfeiffer, 1863b:524"
"latizonata, Pleurotomaria Laube, 1868",17143,"latizonata, Pleurotomaria Laube, 1868 [in 1866-1870], 28(2):85, plate 27: figure 8"
"latruncularia, Anomalocardia E. Römer, 1860",17144,"latruncularia, Anomalocardia E. Römer, 1860a, 7:162; Dunker, 1862 [in 1858-1870], 2:37, plate 12: figures 1-3"
"lattrei, Ampullaria Reeve, 1856",17145,"lattrei, Ampullaria Reeve, 1856 [in 1851-1870], 10(Ampullaria): plate 5: species 22"
"latum, Buccinum Deshayes, 1865",17146,"latum, Buccinum Deshayes, 1865 [in 1856-1865], 3:501, plate 93: figures 27. 28"
"latum, Cyclostoma Gundlach. in Pfeiffer, 1858",17147,"latum, Cyclostoma Gundlach. in Pfeiffer, 1858 [in 1857-1870], 5: 190; as Chondropoma. Reeve, 1863 [in 1851-1870], 14(Chondropoma): plate 8: species 56"
"latus, Ancylus F. Edwards, 1852",17148,"latus, Ancylus F. Edwards, 1852 [in 1852-1877], 2:110, plate 14: figures 15 a-b"
"latus, Conus Eichwald, 1868",17149,"latus, Conus Eichwald, 1868 [in 1853-1868], 2:969, plate 31: figure 17"
"latus, Hyolithes Eichwald, 1860",17150,"latus, Hyolithes Eichwald, 1860 [in 1853-1868], 1:1045, plate 40: figure 16"
"latus, Macroceramus Gundlach, in Pfeiffer, 1864",17151,"latus, Macroceramus Gundlach, in Pfeiffer, 1864 [in 1857-1870], 11: 17; Pfeiffer, 1868 [in 1854-1869], 3:383, plate 89: figures 9-11"
"latus, Nautilus (Temnochilus) Meek and Worthen, 1870",17152,"latus, Nautilus (Temnochilus) Meek and Worthen, 1870:49"
"latus, Unio Lea, 1859",17153,"latus, Unio Lea, 1859e:171; 1860m, 4:334, plate 53: figure 159"
"laubei, Turritella Favre, 1869",17154,"laubei, Turritella Favre, 1869a:44, plate 8: figure 7"
"laudunensis, Arca Deshayes, 1858",17155,"laudunensis, Arca Deshayes, 1858 [in 1856-1865], atlas 1: plate 69: figures 10-13; 1860 [in 1856-1865], 1:870"
"laudunensis, Fragilia Deshayes, 1857",17156,"laudunensis, Fragilia Deshayes, 1857 [in 1856-1865], 1:322, plate 22: figures 26-28"
"laufonensis, Arca Etallon, in Thurmann and Etallon, 1862",17157,"laufonensis, Arca Etallon, in Thurmann and Etallon, 1862:215, plate 27: figure 4"
"laufonensis, Chemnitzia Thurmann, in Thurmann and Etallon, 1862",17158,"laufonensis, Chemnitzia Thurmann, in Thurmann and Etallon, 1862: 88, plate 6: figure 27"
"laufonensis, Lima Thurmann, in Thurmann and Etallon, 1862",17159,"laufonensis, Lima Thurmann, in Thurmann and Etallon, 1862:247, plate 42: figure 15"
"laufonensis, Nerinea Thurmann, in Thurmann and Etallon, 1862",17160,"laufonensis, Nerinea Thurmann, in Thurmann and Etallon, 1862: 102, plate 8: figure 49"
"laufonensis, Nerita Thurmann, in Thurmann and Etallon, 1862",17161,"laufonensis, Nerita Thurmann, in Thurmann and Etallon, 1862:121, plate 10: figure 82"
"launcestonensis, Helix Reeve, 1852",17162,"launcestonensis, Helix Reeve, 1852a:31, plate 13; 1853 [in 1851- 1870], 7(Helix): plate 149: species 968; Cox, 1868:31, plate 7: figure 4 a"
"laurae, Pecten Etallon, in Thurmann and Etallon, 1862",17163,"laurae, Pecten Etallon, in Thurmann and Etallon, 1862:253, plate 35: figure 6"
"laurenti, Helix Bourguignat, 1870",17164,"laurenti, Helix Bourguignat, 1870 [in 1863-1870], 22:95, plate 14: figures 5-7"
"laurentiana, Purpura Petit de la Saussaye, 1850",17165,"laurentiana, Purpura Petit de la Saussaye, 1850f, 1:403, plate 13: figure 2"
"lauricochae, Cyclas Philippi, 1869",17166,"lauricochae, Cyclas Philippi, 1869a, 16:41; Pfeiffer, 1869 [in 1854- 1869], 3:489, plate 105: figures 12-14"
