Name,NameCanonical,Reconcile,ReconcileCanonical,IsDiffCanonical,OrigName,Phylum,LineNum,DatasetIDs,Line
"Donas obesa Philippi, 1851",Donas obesa,"Donax obesa Philippi, 1851",Donax obesa,true,"obesa, Donas Philippi, 1851",Mollusca,21821,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","obesa, Donas Philippi, 1851 [in 1851-1852], 8:75"
"Limnaeus javanicus obesus Martens, 1867",Limnaeus javanicus obesus,"Lymnaeus javanicus var. obesus E. von Martens, 1867",Lymnaeus javanicus obesus,true,"obesus, Limnaeus javanicus Martens, 1867",Mollusca,21865,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","obesus, Limnaeus javanicus Martens, 1867e, 14:223"
"Psidonomya obliqua Hauer, 1857",Psidonomya obliqua,Posidonomya obliqua (von Hauer 1875),Posidonomya obliqua,true,"obliqua, Psidonomya Hauer, 1857",Mollusca,21897,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","obliqua, Psidonomya Hauer, 1857a, 24:152, plate 2: figures 8, 9"
"Pleurotoma obliquinodosa F. Sandberger, 1863",Pleurotoma obliquinodosa,Pleurotoma oblinquinodosa,Pleurotoma oblinquinodosa,true,"obliquinodosa, Pleurotoma F. Sandberger, 1863",Mollusca,21918,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","obliquinodosa, Pleurotoma F. Sandberger, 1863:240, plate 16: figure 6a"
"Lima obliqui-striata Forbes, 1856",Lima obliqui-striata,Lima (Acesta) obliquistriata (Forbes 1846),Lima obliquistriata,true,"obliqui-striata, Lima Forbes, 1856",Mollusca,21922,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","obliqui-striata, Lima Forbes, 1856a, 7:154, plate 18: figure 13"
"Phasianella pulla oblonga Jeffreys, 1865",Phasianella pulla oblonga,"Phasianella pullus var. oblonga Jeffreys, 1865",Phasianella pullus oblonga,true,"oblonga, Phasianella pulla Jeffreys, 1865",Mollusca,21979,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","oblonga, Phasianella pulla Jeffreys, 1865 [in 1862-1869], 3:339"
"Acteon oblongus Piette, 1855",Acteon oblongus,"Actaeon oblongus Menke, 1854",Actaeon oblongus,true,"oblongus, Acteon Piette, 1855",Mollusca,21997,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","oblongus, Acleon Piette, 1855a, 12:1106"
"Nucula obsoletastriata Meek and Hayden, 1856",Nucula obsoletastriata,Nucula obsoletistriata,Nucula obsoletistriata,true,"obsoletastriata, Nucula Meek and Hayden, 1856",Mollusca,22079,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","obsoletastriata, Nucula Meek and Hayden, 1856e, 8:275"
"Bulimus leucoxanthus occulata Martens, 1867",Bulimus leucoxanthus occulata,"Bulimus leucoxanthus var. oculata E. von Martens, 1867",Bulimus leucoxanthus oculata,true,"occulata, Bulimus leucoxanthus Martens, 1867",Mollusca,22186,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","occulata, Bulimus leucoxanthus Martens, 1867f, 2:348, plate 20: figure 12"
"Cyclostoma elegans ochroleucum A. Moquin-Tandon, 1855",Cyclostoma elegans ochroleucum,Cyclostoma elegans var. ochroleuca Morl,Cyclostoma elegans ochroleuca,true,"ochroleucum, Cyclostoma elegans A. Moquin-Tandon, 1855",Mollusca,22218,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ochroleucum, Cyclostoma elegans A. Moquin-Tandon, 1855b, 2:497"
"Sycotopus ocoyanus Conrad, 1855",Sycotopus ocoyanus,Sycotypus ocoyanus (Conrad 1855),Sycotypus ocoyanus,true,"ocoyanus, Sycotopus Conrad, 1855",Mollusca,22231,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ocoyanus, Sycotopus Conrad, 1855h:19; 1856a, 5:329, plate 7: figure 72 a"
"Goniobasis ohioensis Tryon, 1864",Goniobasis ohioensis,Goniobasis ohiensis,Goniobasis ohiensis,true,"ohioensis, Goniobasis Tryon, 1864",Mollusca,22268,"1,2,3,8,11,12,105,132,158,163,170,172,179,181,183,186,194","ohioensis, Goniobasis Tryon, 1864 [in 1863-1865]:45 [variation in spelling of ohiensis]"
